id,class,c1,c2,c3,c4,c5,c6,c8,c9,c14,c17,c18,c20,c22,c23,c27,c32,c40,c43,c46,c47,c48,c54,c55,c56,c57,c58,c59,c60
26,647859449,1472468400,33655,-645229505,левое,0,2000.0,-699300431.0,438320836,16.0,"1,15","1,32",ММ,49.0,0.64,0,7.0,1.0,18,16.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
27,647859449,-1536225201,33655,-645229505,левое,0,100.0,-699300431.0,438320836,16.0,"1,17","1,35",ММ,224.0,0.3,0,8.0,4.0,18,16.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
28,647859449,1472497230,33655,-645229505,левое,0,2000.0,-699300431.0,438320836,25.0,"0,707","0,813",ММ,98.0,0.58,0,7.0,2.0,18,16.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
29,647859449,1472527021,33655,-645229505,левое,0,1000.0,-699300431.0,438320836,35.0,"0,547","0,629",ММ,133.0,0.58,0,7.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
30,647859449,1472581798,33655,-645229505,левое,0,1000.0,-699300431.0,438320836,50.0,"0,375","0,431",ММ,133.0,0.68,0,7.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
31,647859449,1472641380,33655,-645229505,левое,0,1000.0,-699300431.0,438320836,70.0,"0,264","0,304",ММ,189.0,0.68,0,5.0,2.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
32,647859449,1472705767,33655,-645229505,левое,0,500.0,-699300431.0,438320836,95.0,"0,193","0,222",ММ,259.0,0.68,0,7.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
33,647859449,-1598237112,33655,-645229505,левое,0,500.0,-699300431.0,438320836,120.0,"0,15","0,173",ММ,259.0,0.77,0,7.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
34,647859449,-1598147739,33655,-645229505,левое,0,500.0,-699300431.0,438320836,150.0,"0,123","0,141",ММ,259.0,0.85,0,7.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
35,647859449,-1598053561,33655,-645229505,левое,0,500.0,-699300431.0,438320836,185.0,"0,1","0,115",ММ,361.0,0.8,0,7.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
36,647859449,-1597254009,33655,-645229505,левое,0,250.0,-699300431.0,438320836,240.0,"0,0748","0,086",ММ,427.0,0.85,0,6.0,2.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
37,647859449,-1596449652,33655,-645229505,левое,0,250.0,-699300431.0,438320836,300.0,"0,0623","0,0716",ММ,513.0,0.85,0,7.0,1.0,18,12.0,16.0,3.0,0,0,К,Э,Э,л,(РЕ)
38,647859449,-1595526131,33655,-645229505,левое,0,250.0,-699300431.0,438320836,400.0,"0,0454","0,0522",ММ,703.0,0.85,0,7.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
39,647859449,-1594602610,33655,-645229505,левое,0,250.0,-699300431.0,438320836,500.0,"0,0349","0,0401",ММ,703.0,0.97,0,7.0,1.0,18,12.0,16.0,1.0,0,0,К,Э,Э,л,(РЕ)
